"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",$41K-$78K (Glassdoor est.),-1,Ernst & Young LLP,"Philadelphia, PA",-1,-1,-1,-1,-1
Data Analyst,$41K-$78K (Glassdoor est.),3.7,"Tetra Tech, Inc.
3.7","Philadelphia, PA","Pasadena, CA",10000+ employees,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
Pharmaceutical Data Analyst,$41K-$78K (Glassdoor est.),5,"Keen360, Inc.
5.0","Horsham, PA","King of Prussia, PA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$41K-$78K (Glassdoor est.),3.5,"The Judge Group, Inc.
3.5","Camden, NJ","Wayne, PA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.8,"Apex Systems
3.8","Philadelphia, PA","Glen Allen, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Analyst,$41K-$78K (Glassdoor est.),4.2,"Micro-Data Systems, Inc.
4.2","Philadelphia, PA","Holmdel, NJ",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.3,"Techligent
3.3","Philadelphia, PA","Vienna, VA",1 to 50 employees,IT Services,Information Technology,Less than $1 million (USD)
Data Analyst - Data Science,$41K-$78K (Glassdoor est.),3.3,"Gopuff
3.3","Philadelphia, PA","Philadelphia, PA",1001 to 5000 employees,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable
Data Analyst,$41K-$78K (Glassdoor est.),4.1,"Collabera
4.1","Philadelphia, PA","Basking Ridge, NJ",10000+ employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Data Reporting Analyst,$41K-$78K (Glassdoor est.),3.9,"Mondo
3.9","Feasterville Trevose, PA","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA","Philadelphia, PA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst,$41K-$78K (Glassdoor est.),4.1,"VSE, Inc.
4.1","Feasterville Trevose, PA","Langhorne, PA",1 to 50 employees,"Cable, Internet & Telephone Providers",Telecommunications,$5 to $10 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.5,"Eastern Metal Recycling
3.5","Camden, NJ","Warrington, United Kingdom",1001 to 5000 employees,Metals Brokers,Mining & Metals,$2 to $5 billion (USD)
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",$41K-$78K (Glassdoor est.),3.8,"EY
3.8","Philadelphia, PA","London, United Kingdom",10000+ employees,Accounting,Accounting & Legal,$10+ billion (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.6,"Red Tettemer
3.6","Philadelphia, PA","Philadelphia, PA",51 to 200 employees,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Data Reporting Analyst,$41K-$78K (Glassdoor est.),3.5,"Robert Half
3.5","Philadelphia, PA","Menlo Park, CA",10000+ employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
"Jr. Data Analyst, Master Data",$38K-$68K (Glassdoor est.),3.2,"IntegriChain
3.2","Philadelphia, PA","Philadelphia, PA",201 to 500 employees,IT Services,Information Technology,$10 to $25 million (USD)
Data Analyst,$38K-$68K (Glassdoor est.),2.4,"PMHCC Inc.
2.4","Philadelphia, PA","Philadelphia, PA",501 to 1000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Neuroimaging Data Analyst Junior,$38K-$68K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA","Philadelphia, PA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Healthcare Data Analytics Analyst,$38K-$68K (Glassdoor est.),3.1,"AmeriHealth Caritas
3.1","Philadelphia, PA","Philadelphia, PA",5001 to 10000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Certified Tumor Registrar/Data Analyst [CTR and experience required],$38K-$68K (Glassdoor est.),3.5,"Temple University Health System
3.5","Philadelphia, PA","Philadelphia, PA",5001 to 10000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Business Systems/Data Analyst [Remote],$38K-$68K (Glassdoor est.),-1,Wittij Consulting,"Philadelphia, PA","Smithfield, RI",1 to 50 employees,-1,-1,Unknown / Non-Applicable
CCB Risk - Fraud Risk Data Analyst - Associate,$38K-$68K (Glassdoor est.),3.9,"JPMorgan Chase & Co.
3.9","Wilmington, DE","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Analyst,$38K-$68K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Philadelphia, PA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Analyst Data Intelligence (US),$38K-$68K (Glassdoor est.),2.4,"Avantor
2.4","Radnor, PA","Radnor, PA",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Healthcare Data Analytics Analyst,$38K-$68K (Glassdoor est.),-1,Amerihealth Caritas Health Plan,"Philadelphia, PA",-1,-1,-1,-1,-1
Data Analyst,$38K-$68K (Glassdoor est.),4.2,"Tandigm Health LLC
4.2","West Conshohocken, PA","West Conshohocken, PA",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Clinical Data Analyst,$38K-$68K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA","Philadelphia, PA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst - Contract - W2,$38K-$68K (Glassdoor est.),-1,Amplify Systems,"Malvern, PA","Salem, NH",1 to 50 employees,IT Services,Information Technology,Less than $1 million (USD)
Healthcare Data Analyst,$38K-$68K (Glassdoor est.),-1,DL Staffing Solutions,"Philadelphia, PA",-1,-1,-1,-1,-1
"Data Analyst, Value Based Payment (VBP)",$38K-$68K (Glassdoor est.),2.7,"Change Healthcare
2.7","King of Prussia, PA","Nashville, TN",10000+ employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst - Digital Media,$38K-$68K (Glassdoor est.),4.6,"Bryn Mawr Communications LLC
4.6","Wayne, PA","Wayne, PA",1 to 50 employees,Publishing,Media,$1 to $5 million (USD)
Data Strategy Analyst,$38K-$68K (Glassdoor est.),3.9,"Mondo
3.9","Wilmington, DE","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Business Data Analyst,$38K-$68K (Glassdoor est.),3.5,"Dextro Software Systems
3.5","Bensalem, PA","Princeton Junction, NJ",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
"Senior Data Analyst, Specialist",$38K-$68K (Glassdoor est.),3.2,"Vanguard
3.2","Malvern, PA","Malvern, PA",10000+ employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst/Architect,$38K-$68K (Glassdoor est.),2.7,"TechUSA
2.7","Philadelphia, PA","Millersville, MD",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Sr Data Analyst,$38K-$68K (Glassdoor est.),3.9,"Mondo
3.9","Philadelphia, PA","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst - Contractor,$38K-$68K (Glassdoor est.),3.1,"ConnectiveRx
3.1","King of Prussia, PA","Whippany, NJ",1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
SQL Data Analyst,$38K-$68K (Glassdoor est.),4.5,"Piper Companies
4.5","Horsham, PA","Mc Lean, VA",201 to 500 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst/Records Management,$38K-$68K (Glassdoor est.),3.8,"Innovative Development, LLC
3.8","Exton, PA","Harleysville, PA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Senior Data Analyst,$38K-$68K (Glassdoor est.),3.2,"Philabundance
3.2","Philadelphia, PA","Philadelphia, PA",201 to 500 employees,Social Assistance,Non-Profit,Unknown / Non-Applicable
Senior Data Analyst,$38K-$68K (Glassdoor est.),4.1,"Collabera
4.1","Philadelphia, PA","Basking Ridge, NJ",10000+ employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Business / Data Analyst,$38K-$68K (Glassdoor est.),-1,Kforce Technology Staffing,"Wilmington, DE",-1,-1,-1,-1,-1
Data Analyst- Remote,$38K-$68K (Glassdoor est.),-1,FredBeans,"Doylestown, PA",-1,-1,-1,-1,-1
Data Governance Analyst,$38K-$68K (Glassdoor est.),3.5,"Genuent Global, LLC
3.5","Wayne, PA","Houston, TX",201 to 500 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Analyst,$37K-$44K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA","Philadelphia, PA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst- Remote,$37K-$44K (Glassdoor est.),1.8,"Fred Beans Parts, Inc
1.8","Doylestown, PA","Doylestown, PA",51 to 200 employees,-1,-1,$50 to $100 million (USD)
Senior Healthcare Data Analyst - Multiple Positions,$37K-$44K (Glassdoor est.),3.7,"CHOP
3.7","Philadelphia, PA","Philadelphia, PA",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst D,$37K-$44K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA","Philadelphia, PA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst,$37K-$44K (Glassdoor est.),3.8,"Login Consulting Services, Inc
3.8","Allegheny West, PA","El Segundo, CA",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
Data Analyst,$37K-$44K (Glassdoor est.),4,"ORS Partners
4.0","Paoli, PA","Audubon, PA",51 to 200 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Analyst- Remote,$37K-$44K (Glassdoor est.),3.9,"Fred Beans
3.9","Doylestown, PA","Doylestown, PA",1001 to 5000 employees,Vehicle Dealers,Retail,$1 to $2 billion (USD)
SQL Data Analyst,$37K-$44K (Glassdoor est.),3.9,"Zachary Piper Solutions, LLC
3.9","Horsham, PA","Mc Lean, VA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Business/Data Analyst,$37K-$44K (Glassdoor est.),3.4,"Infinity Consulting Solutions
3.4","Wilmington, DE","New York, NY",501 to 1000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data and Information Analyst,$37K-$44K (Glassdoor est.),2.4,"PMHCC, Inc.
2.4","Philadelphia, PA","Philadelphia, PA",501 to 1000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$37K-$44K (Glassdoor est.),3.2,"Angeion Group
3.2","Chester Township, PA","Philadelphia, PA",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Analyst,$37K-$44K (Glassdoor est.),3.8,"iTech Solutions, Inc
3.8","Conshohocken, PA","Farmington, CT",51 to 200 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Analyst,$37K-$44K (Glassdoor est.),2.6,"AccessLex Institute
2.6","West Chester, PA","West Chester, PA",51 to 200 employees,Colleges & Universities,Education,Unknown / Non-Applicable
Senior CX Data Analyst,$37K-$44K (Glassdoor est.),3.2,"Vanguard
3.2","Malvern, PA","Malvern, PA",10000+ employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
"Senior Data Management Analyst, Enterprise Data Management, OCDO",$37K-$44K (Glassdoor est.),3.9,"TD Bank
3.9","Mount Laurel, NJ","Toronto, Canada",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
Vertical Lift Data Exploitation Analyst,$37K-$44K (Glassdoor est.),3.7,"Boeing
3.7","Ridley Park, PA","Chicago, IL",10000+ employees,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Governance Analyst,$37K-$44K (Glassdoor est.),4.7,"TeamSoft
4.7","Wayne, PA","Middleton, WI",201 to 500 employees,IT Services,Information Technology,$50 to $100 million (USD)
Business Data Analyst,$37K-$44K (Glassdoor est.),4.2,"Freedom Mortgage
4.2","Mount Laurel, NJ","Mount Laurel, NJ",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Business Analyst - Data Science & SQL,$37K-$44K (Glassdoor est.),3.5,"Computer Enterprises, Inc.
3.5","Philadelphia, PA","Pittsburgh, PA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Lead Geophysical Data Analyst,$37K-$44K (Glassdoor est.),3.5,"Weston Solutions Inc.
3.5","West Chester, PA","West Chester, PA",1001 to 5000 employees,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Sales Data Analyst,$37K-$44K (Glassdoor est.),3.7,"McGrath Systems
3.7","Berwyn, PA","Blue Bell, PA",1 to 50 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Analyst,$37K-$44K (Glassdoor est.),-1,DL Staffing Solutions,"Newtown, PA",-1,-1,-1,-1,-1
Business Analyst/Data Domain Expert,$37K-$44K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Junior Data Analyst - SQL Programmer,$37K-$44K (Glassdoor est.),2.7,"TechUSA
2.7","Philadelphia, PA","Millersville, MD",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$37K-$44K (Glassdoor est.),4.5,"Piper Companies
4.5","Horsham, PA","Mc Lean, VA",201 to 500 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Business / Data Analyst,$37K-$44K (Glassdoor est.),4.1,"Kforce
4.1","Wilmington, DE","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
"Business Analyst with Data domain,media",$37K-$44K (Glassdoor est.),-1,LiveMindz,"Philadelphia, PA","Dallas, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$37K-$44K (Glassdoor est.),3.9,"Zachary Piper Solutions, LLC
3.9","Horsham, PA","Mc Lean, VA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$37K-$44K (Glassdoor est.),3.6,"A2C Consulting
3.6","Philadelphia, PA","Philadelphia, PA",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Senior Healthcare Data Analyst - Cost and Utilization Analysis,$64K-$113K (Glassdoor est.),3.6,"Community Behavioral Health
3.6","Philadelphia, PA","Phila, PA",201 to 500 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Pharmaceutical Customer Data Analyst,$64K-$113K (Glassdoor est.),4.1,"APN Software Services Inc.
4.1","Plymouth Meeting, PA","Newark, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Analyst,$64K-$113K (Glassdoor est.),4.4,"Contemporary Staffing Solutions
4.4","Philadelphia, PA","Mount Laurel, NJ",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Analyst,$64K-$113K (Glassdoor est.),3.5,"The Judge Group
3.5","Wayne, PA","Wayne, PA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Program Manager / Business Data Analyst,$64K-$113K (Glassdoor est.),2.3,"Versant Health
2.3","Newtown Square, PA","Linthicum, MD",1001 to 5000 employees,Insurance Carriers,Insurance,Unknown / Non-Applicable
DBA / Data Analyst,$64K-$113K (Glassdoor est.),4.2,"Micro-Data Systems Inc.
4.2","Philadelphia, PA","Holmdel, NJ",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
Analyst - Data Intelligence (US),$64K-$113K (Glassdoor est.),2.4,"Avantor
2.4","Wayne, PA","Radnor, PA",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
"Data Analyst (Philadelphia, PA)",$64K-$113K (Glassdoor est.),3.7,"Tetra Tech
3.7","Philadelphia, PA","Pasadena, CA",10000+ employees,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
Data & Systems Analyst,$64K-$113K (Glassdoor est.),4.2,"Freedom Mortgage
4.2","Mount Laurel, NJ","Mount Laurel, NJ",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Business Analyst - Data and Analytics,$64K-$113K (Glassdoor est.),2.7,"Eastern Airlines LLC
2.7","Wayne, PA","Miami, FL",1 to 50 employees,-1,-1,$5 to $10 million (USD)
Lead Data Analyst,$64K-$113K (Glassdoor est.),4.3,"NextGen Global Resources LLC
4.3","Philadelphia, PA","San Diego, CA",501 to 1000 employees,"Cable, Internet & Telephone Providers",Telecommunications,$100 to $500 million (USD)
Senior Data Analyst - Client Experience,$64K-$113K (Glassdoor est.),3.2,"Vanguard
3.2","Malvern, PA","Malvern, PA",10000+ employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst and Report Writer,$64K-$113K (Glassdoor est.),3.5,"The Judge Group
3.5","Boothwyn, PA","Wayne, PA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Payment Integrity Data Analyst,$64K-$113K (Glassdoor est.),3.7,"amerihealth
3.7","Philadelphia, PA","Philadelphia, PA",5001 to 10000 employees,Insurance Carriers,Insurance,$25 to $50 million (USD)
Lead Data Analyst,$64K-$113K (Glassdoor est.),3.9,"GSK
3.9","Philadelphia, PA","Brentford, United Kingdom",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Analyst-(analytics),$64K-$113K (Glassdoor est.),3.6,"A2C Consulting
3.6","Philadelphia, PA","Philadelphia, PA",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Pharmaceutical Data Analyst – Analytics,$64K-$113K (Glassdoor est.),-1,ConcertAI,"King of Prussia, PA",-1,-1,-1,-1,-1
Patient Recruitment Data Analyst (ArcGIS),$64K-$113K (Glassdoor est.),-1,Pharmica Consulting,"Norristown, PA","Sparta, NJ",Unknown,-1,-1,Unknown / Non-Applicable
Virology Data Analysts,$64K-$113K (Glassdoor est.),3.4,"Eurofins
3.4","West Point, PA","Luxembourg, Luxembourg",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Biochemist Data Analyst,$64K-$113K (Glassdoor est.),3.4,"Eurofins
3.4","West Point, PA","Luxembourg, Luxembourg",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Governance Analyst,$64K-$113K (Glassdoor est.),4.2,"Freedom Mortgage
4.2","Marlton, NJ","Mount Laurel, NJ",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Senior Healthcare Data Analyst,$64K-$113K (Glassdoor est.),5,"Cambridge Advisory Group
5.0","King of Prussia, PA","King of Prussia, PA",1 to 50 employees,Consulting,Business Services,$1 to $5 million (USD)
Healthcare Data Analytics Analyst Senior,$64K-$113K (Glassdoor est.),-1,Amerihealth Caritas Health Plan,"Philadelphia, PA",-1,-1,-1,-1,-1
SR BUSINESS DATA ANALYST PRN,$64K-$113K (Glassdoor est.),3.3,"Cooper University Health Care
3.3","Camden, NJ","Camden, NJ",5001 to 10000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
AWS Analys/ Data analyst,$64K-$113K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Malvern, PA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Payment Integrity Data Analyst Job posting in #Philadelphia #ITjobs,$64K-$113K (Glassdoor est.),3.7,"amerihealth
3.7","Philadelphia, PA","Philadelphia, PA",5001 to 10000 employees,Insurance Carriers,Insurance,$25 to $50 million (USD)
Sport & Data Analyst,$64K-$113K (Glassdoor est.),-1,Philadelphia 76ers - HBSE,"Camden, NJ",-1,-1,-1,-1,-1
Data Analyst Supporting the FBI #20-188,$64K-$113K (Glassdoor est.),2.8,"Forfeiture Support Associates
2.8","Philadelphia, PA","Ashburn, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Engineer/Reporting Analyst,$64K-$113K (Glassdoor est.),1.6,"Management Decisions, Inc.
1.6","Philadelphia, PA","Milwaukee, WI",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Sr. Data Analyst - Project Manager,$64K-$113K (Glassdoor est.),2.7,"TechUSA
2.7","Philadelphia, PA","Millersville, MD",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst SAS Programmer,$50K-$93K (Glassdoor est.),4.6,"SRG Woolf
4.6","King of Prussia, PA","Raleigh, NC",1 to 50 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Sr. Data Analyst,$50K-$93K (Glassdoor est.),3.8,"Login Consulting Services, Inc
3.8","Allegheny West, PA","El Segundo, CA",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
"Systems Analyst, Quality Data System",$50K-$93K (Glassdoor est.),3.3,"Adaptimmune Ltd
3.3","Philadelphia, PA","Abingdon, United Kingdom",201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Visualization Project Manager/ Business Analyst (PM / BA),$50K-$93K (Glassdoor est.),4.8,"Trillium Solutions Group
4.8","Horsham, PA","Highland Park, IL",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Stability Data Analyst,$50K-$93K (Glassdoor est.),-1,Eurofins USA PSS Insourcing Solutions,"West Point, PA",-1,-1,-1,-1,-1
Business Analyst/Data Analyst,$50K-$93K (Glassdoor est.),3.5,"The Judge Group
3.5","Wilmington, DE","Wayne, PA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Stability Data Analyst,$50K-$93K (Glassdoor est.),-1,EUROFINS SCIENT.,"West Point, PA",-1,-1,-1,-1,-1
Data Analyst Junior,$50K-$93K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Wilmington, DE","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Business Intelligence and Data Sciences Analyst,$50K-$93K (Glassdoor est.),3.6,"TE Connectivity
3.6","Berwyn, PA","Schaffhausen, Switzerland",10000+ employees,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Sr Business Analyst (Data Quality),$50K-$93K (Glassdoor est.),4.2,"Freedom Mortgage
4.2","Marlton, NJ","Mount Laurel, NJ",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Healthcare Data Analytics Analyst Senior,$50K-$93K (Glassdoor est.),3.1,"AmeriHealth Caritas
3.1","Philadelphia, PA","Philadelphia, PA",5001 to 10000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD)
"Mid Level Data Analyst / BI Engineer - Looker, Python, Client Facing",$50K-$93K (Glassdoor est.),1.6,"Management Decisions, Inc.
1.6","Philadelphia, PA","Milwaukee, WI",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Technical Business Analyst (Data Warehouse),$50K-$93K (Glassdoor est.),4.5,"Piper Companies
4.5","Horsham, PA","Mc Lean, VA",201 to 500 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Link Analyst,$50K-$93K (Glassdoor est.),3.3,"Future Technologies Inc.
3.3","Moorestown, NJ","Plainfield, NJ",1001 to 5000 employees,Accounting,Accounting & Legal,$5 to $10 million (USD)
"Lead Analyst, Data Transfer, Integration & Quality, Wilmington, DE",$50K-$93K (Glassdoor est.),3.2,"BNY Mellon
3.2","Wilmington, DE","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Technical Business Analyst (Data Warehouse),$50K-$93K (Glassdoor est.),3.9,"Zachary Piper Solutions, LLC
3.9","Horsham, PA","Mc Lean, VA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Certified Tumor Registrar/Data Analyst [CTR and experience required],$50K-$93K (Glassdoor est.),4,"Fox Chase Cancer Center
4.0","Philadelphia, PA","Philadelphia, PA",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Center Migration PMO Analyst/PMO Lead,$50K-$93K (Glassdoor est.),4.1,"Kforce
4.1","Wilmington, DE","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Data Center Migration PMO Analyst/PMO Lead,$50K-$93K (Glassdoor est.),-1,Kforce Technology Staffing,"Wilmington, DE",-1,-1,-1,-1,-1
Data Analyst / Tableau Developer,$37K-$68K (Glassdoor est.),3.9,"Technocrafts, Inc.
3.9","San Antonio, TX","Chantilly, VA",1 to 50 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Analyst,$37K-$68K (Glassdoor est.),3.4,"Ionidea
3.4","San Antonio, TX","Fairfax, VA",1001 to 5000 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$37K-$68K (Glassdoor est.),4,"CYNET SYSTEMS
4.0","San Antonio, TX","Ashburn, VA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$37K-$68K (Glassdoor est.),3.1,"Integrated Resources
3.1","San Antonio, TX","Edison, NJ",201 to 500 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst I,$37K-$68K (Glassdoor est.),3,"Deacon Recruiting
3.0","San Antonio, TX","San Antonio, TX",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Reporting Analyst,$37K-$68K (Glassdoor est.),3.9,"Indotronix International Corporation
3.9","San Antonio, TX","Rochester, NY",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$37K-$68K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Antonio, TX","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst,$37K-$68K (Glassdoor est.),3.7,"Huntington Ingalls Industries
3.7","San Antonio, TX","Newport News, VA",10000+ employees,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
Marketing & Data Analyst,$37K-$68K (Glassdoor est.),4.1,"Principle Auto
4.1","San Antonio, TX","San Antonio, TX",501 to 1000 employees,Vehicle Dealers,Retail,Unknown / Non-Applicable
Data Analyst,$37K-$68K (Glassdoor est.),3.4,"C2 GPS- Alamo Workforce
3.4","San Antonio, TX","Austin, TX",501 to 1000 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Reporting Analyst,$37K-$68K (Glassdoor est.),3.4,"Vantage Bank Texas
3.4","San Antonio, TX","San Antonio, TX",201 to 500 employees,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
"Data & Reporting Analyst, Distribution Planning & Operations",$37K-$68K (Glassdoor est.),4.3,"H E B
4.3","San Antonio, TX","San Antonio, TX",10000+ employees,Grocery Stores & Supermarkets,Retail,$10+ billion (USD)
Data Analyst,$37K-$68K (Glassdoor est.),2.5,"Vinsari
2.5","San Antonio, TX","Irving, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Epidemiologist - Data Analyst,$37K-$68K (Glassdoor est.),4,"CICONIX, LLC
4.0","San Antonio, TX","Annapolis, MD",1 to 50 employees,Federal Agencies,Government,Unknown / Non-Applicable
